 input file is 
10um-10nm-1000F.inp           
 input file comments follow:
*****************************************************
10um host, 100nm rim, 10nm Fe x 1000 FIXED
*****************************************************
 number of processors:
  11
 input parameters for run number 
    1
 number of spheres, volume size parameter:
 1002  0.45777E+02
 position file:
                                                            
 output file:
dat/700nm.dat                                               
 length, ref. indx. scale factors:
   0.009   1.000   1.000
 chiral factors:
  0.00000E+00  0.00000E+00
 scattering matrix directions based on incident frame
 automatic scattering angle calculation
 thetamin, thetamax:
      0.0    180.0
 phimin, phimax:
      0.0      0.0
 number scattering angles:
      181
 epsmie, epssoln, max number iterations:
  0.1000E-05  0.1000E-07 5000
 medium refractive index:
  1.0000  0.0000
 target euler rotation angles:
    0.0000    0.0000    0.0000
 far field kr, iterations/correction:
  0.1000E+09   20
 plane wave incidence
 fixed orientation calculations
 incident azimuth and polar angles:
     0.000     0.000
 common expansion epsilon:
  0.1000E-05
 scattering coefficients calculated, stored in file 
sc/700nm.sc.dat                                             
 calculation results for run 
    1
 sphere host   ka     x-x(host) y-y(host) z-z(host)  Re(m)     Im(m)      Qext         Qsca        Qabs         Qabs(V)
   78    2    0.0449   36.7641   19.5255   18.6151  3.428230  3.399010  0.00000E+00  0.17287E-05  0.16963E-02  0.16963E-02
   79    2    0.0449  -24.3620   28.6151   24.8050  3.428230  3.399010  0.00000E+00  0.72594E-06  0.71182E-03  0.71182E-03
   80    2    0.0449  -28.7399  -34.9296   -3.6910  3.428230  3.399010  0.00000E+00  0.27148E-04  0.26632E-01  0.26632E-01
   81    2    0.0449  -10.7471   43.8965    5.5609  3.428230  3.399010  0.00000E+00  0.10114E-04  0.99259E-02  0.99259E-02
   82    2    0.0449   25.3995   10.5559   35.9078  3.428230  3.399010  0.00000E+00  0.75216E-07  0.73687E-04  0.73687E-04
   83    2    0.0449  -12.4721   41.1853  -14.3826  3.428230  3.399010  0.00000E+00  0.58113E-04  0.57016E-01  0.57016E-01
   84    2    0.0449    5.6297   39.8339  -20.6544  3.428230  3.399010  0.00000E+00  0.87430E-04  0.85732E-01  0.85732E-01
   85    2    0.0449   38.7317    9.8483   20.7594  3.428230  3.399010  0.00000E+00  0.14250E-05  0.13970E-02  0.13970E-02
   86    2    0.0449  -35.1817   13.2416   25.6732  3.428230  3.399010  0.00000E+00  0.55135E-06  0.54098E-03  0.54098E-03
   87    2    0.0449  -23.8707  -37.5495    7.2988  3.428230  3.399010  0.00000E+00  0.98052E-05  0.96142E-02  0.96142E-02
   88    2    0.0449   30.1298   33.3569    2.2547  3.428230  3.399010  0.00000E+00  0.17784E-04  0.17432E-01  0.17432E-01
   89    2    0.0449   16.5460   35.0816   22.8556  3.428230  3.399010  0.00000E+00  0.99680E-06  0.97780E-03  0.97780E-03
   90    2    0.0449   10.0745  -42.1893   13.1944  3.428230  3.399010  0.00000E+00  0.41861E-05  0.41051E-02  0.41051E-02
   91    2    0.0449   14.5376   25.1134   35.1271  3.428230  3.399010  0.00000E+00  0.82168E-07  0.80834E-04  0.80834E-04
   92    2    0.0449  -13.9283   13.3373   41.3325  3.428230  3.399010  0.00000E+00  0.17381E-07  0.16966E-04  0.16966E-04
   93    2    0.0449   20.5100   37.7091  -14.9343  3.428230  3.399010  0.00000E+00  0.57193E-04  0.56127E-01  0.56127E-01
   94    2    0.0449   40.7954    4.3436   19.6517  3.428230  3.399010  0.00000E+00  0.15280E-05  0.14987E-02  0.14987E-02
   95    2    0.0449  -12.1924   23.3492  -36.6058  3.428230  3.399010  0.00000E+00  0.15843E-03  0.15526E+00  0.15526E+00
   96    2    0.0449   -2.5844  -44.7740   -3.8611  3.428230  3.399010  0.00000E+00  0.32041E-04  0.31411E-01  0.31411E-01
   97    2    0.0449   26.1318  -17.4205   32.6933  3.428230  3.399010  0.00000E+00  0.14194E-06  0.13930E-03  0.13930E-03
   98    2    0.0449   40.9531   19.5157   -4.0212  3.428230  3.399010  0.00000E+00  0.25783E-04  0.25307E-01  0.25307E-01
   99    2    0.0449   18.3931  -32.3191   25.4894  3.428230  3.399010  0.00000E+00  0.61732E-06  0.60533E-03  0.60533E-03
  100    2    0.0449   23.9286   31.3184  -22.5778  3.428230  3.399010  0.00000E+00  0.85267E-04  0.83673E-01  0.83673E-01
  101    2    0.0449  -22.4913    1.5984   39.0608  3.428230  3.399010  0.00000E+00  0.30478E-07  0.29812E-04  0.29812E-04
  102    2    0.0449   30.7970    6.6141   32.5005  3.428230  3.399010  0.00000E+00  0.14714E-06  0.14451E-03  0.14451E-03
  103    2    0.0449  -19.7185   30.3066   27.2781  3.428230  3.399010  0.00000E+00  0.44870E-06  0.43989E-03  0.43989E-03
  104    2    0.0449   -8.4889  -30.2379  -32.9949  3.428230  3.399010  0.00000E+00  0.10648E-03  0.10460E+00  0.10460E+00
  105    2    0.0449   25.1730   20.3630  -31.6278  3.428230  3.399010  0.00000E+00  0.12625E-03  0.12381E+00  0.12381E+00
  106    2    0.0449  -23.4277   -0.6080   38.8991  3.428230  3.399010  0.00000E+00  0.46547E-07  0.45547E-04  0.45547E-04
  107    2    0.0449  -20.8816  -15.8567  -37.1601  3.428230  3.399010  0.00000E+00  0.12231E-03  0.12009E+00  0.12009E+00
  108    2    0.0449   14.2152  -34.8592  -25.1090  3.428230  3.399010  0.00000E+00  0.10300E-03  0.10101E+00  0.10101E+00
  109    2    0.0449   28.7310   23.1404  -26.4850  3.428230  3.399010  0.00000E+00  0.96737E-04  0.94935E-01  0.94935E-01
  110    2    0.0449  -13.3326  -20.4671   37.8324  3.428230  3.399010  0.00000E+00  0.35189E-07  0.34865E-04  0.34865E-04
  111    2    0.0449  -21.7764  -16.7746   35.7650  3.428230  3.399010  0.00000E+00  0.75645E-07  0.74084E-04  0.74084E-04
  112    2    0.0449   13.2861  -33.6385  -27.4830  3.428230  3.399010  0.00000E+00  0.99202E-04  0.97366E-01  0.97366E-01
  113    2    0.0449  -32.6051  -30.9602    2.5905  3.428230  3.399010  0.00000E+00  0.17049E-04  0.16715E-01  0.16715E-01
  114    2    0.0449   -9.7935   43.3486   -9.8084  3.428230  3.399010  0.00000E+00  0.40456E-04  0.39710E-01  0.39710E-01
  115    2    0.0449  -30.5323  -15.1963   30.1478  3.428230  3.399010  0.00000E+00  0.24375E-06  0.23872E-03  0.23872E-03
  116    2    0.0449  -36.7956  -22.5724   12.7180  3.428230  3.399010  0.00000E+00  0.49006E-05  0.48045E-02  0.48045E-02
  117    2    0.0449  -36.4616   26.4029   -1.2624  3.428230  3.399010  0.00000E+00  0.25156E-04  0.24660E-01  0.24660E-01
  118    2    0.0449   41.9499   16.0732    6.0306  3.428230  3.399010  0.00000E+00  0.10487E-04  0.10287E-01  0.10287E-01
  119    2    0.0449    4.9350   22.5931   39.0679  3.428230  3.399010  0.00000E+00  0.48490E-07  0.47202E-04  0.47202E-04
  120    2    0.0449   12.0342  -40.8349   15.0429  3.428230  3.399010  0.00000E+00  0.34053E-05  0.33389E-02  0.33389E-02
  121    2    0.0449  -16.4515   -9.9458   40.9752  3.428230  3.399010  0.00000E+00  0.10717E-07  0.10792E-04  0.10792E-04
  122    2    0.0449  -13.2091    6.2247  -42.9061  3.428230  3.399010  0.00000E+00  0.15395E-03  0.15105E+00  0.15105E+00
  123    2    0.0449  -40.7320   -5.7252   18.7031  3.428230  3.399010  0.00000E+00  0.19464E-05  0.19078E-02  0.19078E-02
  124    2    0.0449  -40.6286  -15.7034   12.4262  3.428230  3.399010  0.00000E+00  0.47206E-05  0.46298E-02  0.46298E-02
  125    2    0.0449   14.2873   40.3216  -15.1584  3.428230  3.399010  0.00000E+00  0.60288E-04  0.59150E-01  0.59150E-01
  126    2    0.0449   25.3347  -33.4142  -16.8414  3.428230  3.399010  0.00000E+00  0.73953E-04  0.72510E-01  0.72510E-01
  127    2    0.0449   27.3095  -35.6725   -3.2877  3.428230  3.399010  0.00000E+00  0.30242E-04  0.29646E-01  0.29646E-01
  128    2    0.0449   -0.5972   44.1309   10.0688  3.428230  3.399010  0.00000E+00  0.65337E-05  0.64083E-02  0.64083E-02
  129    2    0.0449   43.0611   14.9816   -2.8970  3.428230  3.399010  0.00000E+00  0.22211E-04  0.21807E-01  0.21807E-01
  130    2    0.0449  -43.8920   10.8589    4.5597  3.428230  3.399010  0.00000E+00  0.11740E-04  0.11520E-01  0.11520E-01
  131    2    0.0449    7.3136  -43.8309    7.1053  3.428230  3.399010  0.00000E+00  0.10218E-04  0.10019E-01  0.10019E-01
  132    2    0.0449  -21.8295   37.7719   11.4670  3.428230  3.399010  0.00000E+00  0.57252E-05  0.56139E-02  0.56139E-02
  133    2    0.0449   -0.8339  -36.2730   27.2646  3.428230  3.399010  0.00000E+00  0.43817E-06  0.42952E-03  0.42952E-03
  134    2    0.0449   33.0211   -8.9244   29.9096  3.428230  3.399010  0.00000E+00  0.26238E-06  0.25695E-03  0.25695E-03
  135    2    0.0449  -10.4302   38.4690  -21.1359  3.428230  3.399010  0.00000E+00  0.94220E-04  0.92362E-01  0.92362E-01
  136    2    0.0449   -3.3368   20.7804   40.0715  3.428230  3.399010  0.00000E+00  0.41938E-07  0.41279E-04  0.41279E-04
  137    2    0.0449   15.5924   -7.9407   41.9209  3.428230  3.399010  0.00000E+00  0.32438E-07  0.31509E-04  0.31509E-04
  138    2    0.0449    5.7238   39.7085   21.3756  3.428230  3.399010  0.00000E+00  0.11624E-05  0.11408E-02  0.11408E-02
  139    2    0.0449  -10.9206  -41.0833  -14.8214  3.428230  3.399010  0.00000E+00  0.70424E-04  0.69029E-01  0.69029E-01
  140    2    0.0449  -20.4687   23.4147   32.7005  3.428230  3.399010  0.00000E+00  0.15001E-06  0.14727E-03  0.14727E-03
  141    2    0.0449   41.9577  -16.5611    1.9704  3.428230  3.399010  0.00000E+00  0.17628E-04  0.17281E-01  0.17281E-01
  142    2    0.0449   13.2983    8.8242  -42.1739  3.428230  3.399010  0.00000E+00  0.17927E-03  0.17570E+00  0.17570E+00
  143    2    0.0449  -21.0327   25.6309   31.0170  3.428230  3.399010  0.00000E+00  0.20618E-06  0.20245E-03  0.20245E-03
  144    2    0.0449  -32.8346    0.4514   30.9395  3.428230  3.399010  0.00000E+00  0.23404E-06  0.22931E-03  0.22931E-03
  145    2    0.0449  -10.5866   10.4881   43.0451  3.428230  3.399010  0.00000E+00  0.34521E-07  0.33318E-04  0.33318E-04
  146    2    0.0449   -4.0545  -38.7970  -22.6055  3.428230  3.399010  0.00000E+00  0.10166E-03  0.99650E-01  0.99650E-01
  147    2    0.0449    7.6047  -23.4880  -38.0049  3.428230  3.399010  0.00000E+00  0.14085E-03  0.13822E+00  0.13822E+00
  148    2    0.0449   20.2984   26.0695  -31.4632  3.428230  3.399010  0.00000E+00  0.99474E-04  0.97704E-01  0.97704E-01
  149    2    0.0449  -31.8284   -1.2994  -32.2856  3.428230  3.399010  0.00000E+00  0.11986E-03  0.11760E+00  0.11760E+00
  150    2    0.0449  -43.7256    5.1352   10.6154  3.428230  3.399010  0.00000E+00  0.60458E-05  0.59286E-02  0.59286E-02
  151    2    0.0449   33.8074  -25.6324  -16.3617  3.428230  3.399010  0.00000E+00  0.60948E-04  0.59819E-01  0.59819E-01
  152    2    0.0449  -18.3459   41.3319   -0.2600  3.428230  3.399010  0.00000E+00  0.21467E-04  0.21048E-01  0.21048E-01
  153    2    0.0449   28.6964   18.4881  -29.5414  3.428230  3.399010  0.00000E+00  0.12750E-03  0.12498E+00  0.12498E+00
  154    2    0.0449   27.6201   34.9629    7.1582  3.428230  3.399010  0.00000E+00  0.98649E-05  0.96725E-02  0.96725E-02
  155    2    0.0449  -33.6503   13.7195   26.9697  3.428230  3.399010  0.00000E+00  0.48242E-06  0.47298E-03  0.47298E-03
  156    2    0.0449   -3.4963  -44.3247    9.3632  3.428230  3.399010  0.00000E+00  0.66767E-05  0.65516E-02  0.65516E-02
  157    2    0.0449   11.4336   33.5174   28.1150  3.428230  3.399010  0.00000E+00  0.36864E-06  0.36172E-03  0.36172E-03
  158    2    0.0449  -29.6923    0.5566   34.0521  3.428230  3.399010  0.00000E+00  0.11036E-06  0.10828E-03  0.10828E-03
  159    2    0.0449   -7.5087   -0.3937   44.5172  3.428230  3.399010  0.00000E+00  0.43817E-07  0.42743E-04  0.42743E-04
  160    2    0.0449  -19.3148   14.0100  -38.4434  3.428230  3.399010  0.00000E+00  0.15058E-03  0.14769E+00  0.14769E+00
  161    2    0.0449   40.9496  -13.0701  -13.5630  3.428230  3.399010  0.00000E+00  0.64360E-04  0.63091E-01  0.63091E-01
  162    2    0.0449   -9.0603   15.1152  -41.7641  3.428230  3.399010  0.00000E+00  0.15003E-03  0.14721E+00  0.14721E+00
  163    2    0.0449   20.9013  -18.3555   36.1801  3.428230  3.399010  0.00000E+00  0.72881E-07  0.71164E-04  0.71164E-04
  164    2    0.0449  -24.6514   36.6236  -11.4323  3.428230  3.399010  0.00000E+00  0.43021E-04  0.42236E-01  0.42236E-01
  165    2    0.0449   16.1956   39.1578   15.6673  3.428230  3.399010  0.00000E+00  0.30851E-05  0.30250E-02  0.30250E-02
  166    2    0.0449   -4.6307   17.2068   41.8229  3.428230  3.399010  0.00000E+00  0.34701E-07  0.33665E-04  0.33665E-04
  167    2    0.0449    9.2660   14.2372  -42.0141  3.428230  3.399010  0.00000E+00  0.15217E-03  0.14929E+00  0.14929E+00
  168    2    0.0449   11.8934  -30.5800  -31.7016  3.428230  3.399010  0.00000E+00  0.10009E-03  0.98310E-01  0.98310E-01
  169    2    0.0449    4.7524    0.4555   44.9587  3.428230  3.399010  0.00000E+00  0.17660E-06  0.17419E-03  0.17419E-03
  170    2    0.0449  -15.1878  -25.1644  -34.4963  3.428230  3.399010  0.00000E+00  0.13022E-03  0.12773E+00  0.12773E+00
  171    2    0.0449   36.6886   19.8112  -17.8181  3.428230  3.399010  0.00000E+00  0.71069E-04  0.69718E-01  0.69718E-01
